title;country
FacultyMenlo College;UNITED STATES - CAMercer University-Macon and Atlanta Campuses;UNITED STATES - GA
Eugene W.Meredith College;UNITED STATES - NC
Miami University;UNITED STATES - OH
FarmerMichigan State University;UNITED STATES - MI
TMichigan Technological University;UNITED STATES - MI
Middle Tennessee State University;UNITED STATES - TN
Jennings A.Middlebury Institute of International Studies at Monterey;UNITED STATES - CAMidwestern State University;UNITED STATES - TX
DillardMillsaps College;UNITED STATES - MS
EMinnesota State University Moorhead;UNITED STATES - MN
Minnesota State University, Mankato;UNITED STATES - MN
Mississippi State University;UNITED STATES - MS
Missouri State University;UNITED STATES - MO
Missouri University of Science and Technology;UNITED STATES - MOMissouri Western State University;UNITED STATES - MO
Steven L.Monash University;AUSTRALIA - Victoria
FacultyMonmouth University;UNITED STATES - NJ
LeonMontana State University;UNITED STATES - MT
Montana State University-Billings;UNITED STATES - MT
Montclair State University;UNITED STATES - NJ
Montpellier Business School;FRANCEMorehead State University;UNITED STATES - KY
Morehouse College;UNITED STATES - GA
DivisionMorgan State University;UNITED STATES - MD
Earl G.Murray State University;UNITED STATES - KY
The Arthur J.Nagoya University of Commerce and Business;JAPAN - AichiNanjing University;CHINA - Jiangsu
Nanyang Technological University;SINGAPORE
NanyanNational Central University;CHINESE TAIPEI
National Cheng Kung University;CHINESE TAIPEINational Chengchi University;CHINESE TAIPEI
National Chiao Tung University;CHINESE TAIPEI
National Institute of Development Administration;THAILAND
National Sun Yat-sen University;CHINESE TAIPEI
National Taiwan University;CHINESE TAIPEI
National Taiwan University of Science and Technology;CHINESE TAIPEI
National University of Singapore;SINGAPORE
NUNational Yunlin University of Science and Technology;CHINESE TAIPEI
Naval Postgraduate School;UNITED STATES - CA
GraduatNEOMA Business School;FRANCENew Jersey Institute of Technology;UNITED STATES - NJ
New Mexico State University;UNITED STATES - NM
New York University;UNITED STATES - NY
Leonard N.Newcastle University;UNITED KINGDOM - England
NewcastNiagara University;UNITED STATES - NY
Nicholls State University;UNITED STATES - LA
Norfolk State University;UNITED STATES - VA
North Carolina A & T State University;UNITED STATES - NC
North Carolina Central University;UNITED STATES - NC
North Carolina State University;UNITED STATES - NC
PNorth Dakota State University;UNITED STATES - ND
Northeastern University;UNITED STATES - MA
D'Amore-McKimNorthern Arizona University;UNITED STATES - AZ
The W. A.Northern Illinois University;UNITED STATES - IL
Northern Kentucky University;UNITED STATES - KY
Haile/UNorthern Michigan University;UNITED STATES - MI
Northumbria University;UNITED KINGDOM - England
NewcastNorthwestern State University of Louisiana;UNITED STATES - LA
Northwestern University;UNITED STATES - IL
KOakland University;UNITED STATES - MI
Ohio Northern University;UNITED STATES - OH
The Ohio State University;UNITED STATES - OH
Max M.Ohio University;UNITED STATES - OH
Oklahoma City University;UNITED STATES - OK
MeinderOklahoma State University;UNITED STATES - OK
SpearOld Dominion University;UNITED STATES - VA
StromThe Open University;UNITED KINGDOM - England
TOregon State University;UNITED STATES - OR
Ouachita Baptist University;UNITED STATES - AR
Frank D.Pace University;UNITED STATES - NY
LubinPacific Lutheran University;UNITED STATES - WA
Peking University;CHINA - Beijing
GuanghuaThe Pennsylvania State University at Erie, The Behrend College;UNITED STATES - PA
SamThe Pennsylvania State University at Harrisburg;UNITED STATES - PA
The Pennsylvania State University Great Valley School of Graduate Professional Studies;UNITED STATES - PA
GreatThe Pennsylvania State University;UNITED STATES - PA
SmeaPepperdine University;UNITED STATES - CA
GraziadiPforzheim University;GERMANY
BusinePittsburg State University;UNITED STATES - KS
Gladys A.Pontificia Universidad Católica de Chile;CHILE
EscuelaPortland State University;UNITED STATES - OR
Prairie View A & M University;UNITED STATES - TX
Providence College;UNITED STATES - RI
Purdue University;UNITED STATES - IN
KrannertQatar University;QATAR
Queen's University;CANADA - ON
Queen'Queens University of Charlotte;UNITED STATES - NC
MQueensland University of Technology;AUSTRALIA - Queensland
BusineQuinnipiac University;UNITED STATES - CT
Radford University;UNITED STATES - VA
Ramapo College of New Jersey;UNITED STATES - NJ
AnisfieldRenmin University of China;CHINA - Beijing
Rensselaer Polytechnic Institute;UNITED STATES - NY
LallyRice University;UNITED STATES - TX
Jesse H.Rider University;UNITED STATES - NJ
Robert Morris University;UNITED STATES - PA
Rochester Institute of Technology;UNITED STATES - NY
SaunderRockhurst University;UNITED STATES - MO
HelzberRoger Williams University;UNITED STATES - RI
GabelliRollins College;UNITED STATES - FL
Rowan University;UNITED STATES - NJ
RohrerRoy E. Crummer Graduate School of Business;UNITED STATES - FL
RollinRutgers-The State University of New Jersey-Camden;UNITED STATES - NJ
RutgerRutgers-The State University of New Jersey-Newark/New Brunswick;UNITED STATES - NJ
RutgerRWTH Aachen University;GERMANY
Ryerson University;CANADA - ON
TedSabanci University;TURKEY
SabanciSacred Heart University;UNITED STATES - CT
John F.Saginaw Valley State University;UNITED STATES - MI
Saint Joseph's University;UNITED STATES - PA
Erivan K.Saint Louis University;UNITED STATES - MO
JohnSaint Mary's College of California;UNITED STATES - CA
Saint Mary's University;CANADA - NS
SobeySaint Xavier University;UNITED STATES - IL
GrahamSalisbury University;UNITED STATES - MD
Franklin P.Sam Houston State University;UNITED STATES - TX
Samford University;UNITED STATES - AL
BrockSan Diego State University;UNITED STATES - CA
San Francisco State University;UNITED STATES - CA
San José State University;UNITED STATES - CA
Santa Clara University;UNITED STATES - CA
LeaveySasin Graduate Institute of Business Administration of Chulalongkorn University;THAILANDSavannah State University;UNITED STATES - GA
School of Hotel Administration, Cornell University;UNITED STATES - NYSDA Bocconi;ITALY
Seattle Pacific University;UNITED STATES - WA
School of Business, Government,Seattle University;UNITED STATES - WA
AlberSejong University;SOUTH KOREA
Seoul National University;SOUTH KOREA
Seton Hall University;UNITED STATES - NJ
StillmanShanghai Jiao Tong University;CHINA - Shanghai
AntaiShenandoah University;UNITED STATES - VA
Harry F. Byrd, Jr.Shippensburg University;UNITED STATES - PA
John L.Siena College;UNITED STATES - NY
Simmons College;UNITED STATES - MA
Simon Fraser University;CANADA - BC
BeediSingapore Management University;SINGAPORE
SKEMA Business School;FRANCESogang University;SOUTH KOREA
SoganSolBridge International School of Business;SOUTH KOREASonoma State University;UNITED STATES - CA
South Carolina State University;UNITED STATES - SC
Southeast Missouri State University;UNITED STATES - MO
Donald L.Southeastern Louisiana University;UNITED STATES - LA
Southeastern Oklahoma State University;UNITED STATES - OK
JohnSouthern Arkansas University;UNITED STATES - AR
Southern Illinois University Carbondale;UNITED STATES - IL
Southern Illinois University Edwardsville;UNITED STATES - IL
Southern Methodist University;UNITED STATES - TX
Edwin L.Southern University and A & M College;UNITED STATES - LA
Southern University at New Orleans;UNITED STATES - LA
Southern Utah University;UNITED STATES - UT
St. Bonaventure University;UNITED STATES - NY
St. Cloud State University;UNITED STATES - MN
HerbergerSt. John Fisher College;UNITED STATES - NY
St. John's University;UNITED STATES - NY
The Peter J.St. Mary's University;UNITED STATES - TX
BiStanford University;UNITED STATES - CA
GraduatState University of New York at Geneseo;UNITED STATES - NY
State University of New York at New Paltz;UNITED STATES - NY
State University of New York College at Brockport;UNITED STATES - NY
State University of New York College at Oneonta;UNITED STATES - NY
State University of New York College at Oswego;UNITED STATES - NY
State University of New York College at Plattsburgh;UNITED STATES - NY
State University of New York Polytechnic Institute;UNITED STATES - NYStephen F. Austin State University;UNITED STATES - TX
NelsonStetson University;UNITED STATES - FL
Stonehill College;UNITED STATES - MASuffolk University;UNITED STATES - MA
SawyerSun Yat-sen University;CHINA - Guangdong
Sungkyunkwan University;SOUTH KOREA
SKKUSusquehanna University;UNITED STATES - PA
SigmundSyracuse University;UNITED STATES - NY
The Martin J.T. A. Pai Management Institute;INDIA - KarnatakaTel Aviv University;ISRAEL
TTELECOM School of Management;FRANCETemple University;UNITED STATES - PA
TTennessee State University;UNITED STATES - TN
Tennessee Technological University;UNITED STATES - TN
Texas A & M International University;UNITED STATES - TX
A.R. Sanchez, Jr.Texas A & M University;UNITED STATES - TX
MayTexas A & M University-Commerce;UNITED STATES - TX
Texas A & M University-Corpus Christi;UNITED STATES - TX
Texas Christian University;UNITED STATES - TX
NeeleyTexas Southern University;UNITED STATES - TX
Jesse H.Texas State University;UNITED STATES - TX
McCoyTexas Tech University;UNITED STATES - TX
RawTexas Wesleyan University;UNITED STATES - TX
The University of Sheffield;UNITED KINGDOM - England
ManagementThunderbird School of Global Management;UNITED STATES - AZTilburg University;NETHERLANDS
TilburToulouse Business School - Groupe ESC Toulouse;FRANCETowson University;UNITED STATES - MD
Trinity University;UNITED STATES - TX
Truman State University;UNITED STATES - MO
Tsinghua University;CHINA - Beijing
Tulane University;UNITED STATES - LA
A. B.Tuskegee University;UNITED STATES - AL
BrimmerUnion Graduate College;UNITED STATES - NY
Union University;UNITED STATES - TN
McAUnited Arab Emirates University;UAEU;UNITED ARAB EMIRATES
Universidad de los Andes;COLOMBIA
Universidad del Pacífico;PERU
FacultadUniversidad del Turabo;UNITED STATES - PR
Universidad ESAN;PERU
GraduatUniversidad ICESI;COLOMBIA
Facultad de Ciencias Administrativas y EconómicaUniversidade Católica Portuguesa;PORTUGAL
CatolicaUniversidade Nova de Lisboa;PORTUGAL
NovaUniversitaet Mannheim;GERMANY
BusineUniversitas Gadjah Mada;INDONESIA
FacultyUniversité Laval;CANADA - QC
Faculté des sciences de l'administrationUniversiteit Antwerpen;BELGIUM
FacultyUniversiti Putra Malaysia;MALAYSIA - Selangor
FacultyUniversity at Albany, State University of New York;UNITED STATES - NY
University at Buffalo, State University of New York;UNITED STATES - NY
University College Dublin;IRELAND
UCDThe University of Adelaide;AUSTRALIA - South Australia
BusineThe University of Akron;UNITED STATES - OHThe University of Alabama;UNITED STATES - AL
CulverhouUniversity of Alabama at Birmingham;UNITED STATES - AL
CollatUniversity of Alabama in Huntsville;UNITED STATES - AL
University of Alaska Anchorage;UNITED STATES - AK
University of Alaska Fairbanks;UNITED STATES - AK
University of Alberta;CANADA - AB
The University of Arizona;UNITED STATES - AZ
EllerUniversity of Arkansas;UNITED STATES - AR
Sam M.University of Arkansas at Fort Smith;UNITED STATES - AR
University of Arkansas at Little Rock;UNITED STATES - AR
The University of Auckland;NEW ZEALAND
TUniversity of Baltimore;UNITED STATES - MD
Robert G.University of Birmingham;UNITED KINGDOM - England
BirminghamUniversity of Bradford;UNITED KINGDOM - England
University of British Columbia;CANADA - BC
SauderUniversity of Calgary;CANADA - AB
HaskaynUniversity of California, Berkeley;UNITED STATES - CA
HaaUniversity of California, Davis;UNITED STATES - CA
GraduatUniversity of California, Irvine;UNITED STATES - CA
TUniversity of California, Los Angeles;UNITED STATES - CA
UCLAUniversity of California, Riverside;UNITED STATES - CA
The A.University of California, San Diego;UNITED STATES - CA
RadyUniversity of Canterbury, Te Whare Wananga o Waitaha;NEW ZEALAND
University of Cape Town;SOUTH AFRICA
GraduatUniversity of Central Arkansas;UNITED STATES - AR
University of Central Florida;UNITED STATES - FL
University of Central Missouri;UNITED STATES - MO
HarmonThe University of Chicago;UNITED STATES - IL
BootUniversity of Cincinnati;UNITED STATES - OH
Carl H.University of Colorado at Boulder;UNITED STATES - CO
LeedUniversity of Colorado Colorado Springs;UNITED STATES - CO
University of Colorado Denver;UNITED STATES - CO
BusineUniversity of Connecticut;UNITED STATES - CT
University of Dallas;UNITED STATES - TX
SatiUniversity of Dayton;UNITED STATES - OH
University of Delaware;UNITED STATES - DE
AlfredUniversity of Denver;UNITED STATES - CO
DanieUniversity of Detroit Mercy;UNITED STATES - MI
University of Dubai;UNITED ARAB EMIRATES
University of Edinburgh;UNITED KINGDOM - Scotland
BusineUniversity of Evansville;UNITED STATES - IN
TUniversity of Florida;UNITED STATES - FL
WarringtonThe University of Georgia;UNITED STATES - GA
TerryUniversity of Glasgow;UNITED KINGDOM - Scotland
BusineUniversity of Groningen;NETHERLANDS
FacultyUniversity of Hartford;UNITED STATES - CT
BarneyUniversity of Hawaii at Hilo;UNITED STATES - HI
University of Hawaii at Manoa;UNITED STATES - HI
ShidlerThe University of Hong Kong;CHINA - Hong KongUniversity of Houston;UNITED STATES - TX
C.T.University of Houston-Clear Lake;UNITED STATES - TX
University of Houston-Downtown;UNITED STATES - TX
University of Houston-Victoria;UNITED STATES - TX
The University of Hull;UNITED KINGDOM - England
HuUniversity of Idaho;UNITED STATES - ID
University of Illinois at Chicago;UNITED STATES - IL
University of Illinois at Springfield;UNITED STATES - IL
University of Illinois at Urbana-Champaign;UNITED STATES - IL
The University of Iowa;UNITED STATES - IA
TippiUniversity of Kansas;UNITED STATES - KS
University of Kentucky;UNITED STATES - KY
CarThe University of Liverpool;UNITED KINGDOM - England
ManagementUniversity of Ljubljana;SLOVENIA
FacultyUniversity of Louisiana at Lafayette;UNITED STATES - LA
B. I. Moody,University of Louisiana at Monroe;UNITED STATES - LA
University of Louisville;UNITED STATES - KY
University of Maine;UNITED STATES - ME
TThe University of Manchester;UNITED KINGDOM - England
ManchesterUniversity of Manitoba;CANADA - MB
I. H.University of Maryland Eastern Shore;UNITED STATES - MD
University of Maryland;UNITED STATES - MD
Robert H.University of Massachusetts Amherst;UNITED STATES - MA
IsenberUniversity of Massachusetts Boston;UNITED STATES - MA
University of Massachusetts Dartmouth;UNITED STATES - MA
CharltonUniversity of Massachusetts Lowell;UNITED STATES - MA
ManninUniversity of Melbourne;AUSTRALIA - Victoria
FacultyThe University of Memphis;UNITED STATES - TN
FogelmanUniversity of Miami;UNITED STATES - FL
The University of Michigan;UNITED STATES - MI
Stephen M.The University of Michigan-Dearborn;UNITED STATES - MI
The University of Michigan-Flint;UNITED STATES - MI
University of Minnesota Duluth;UNITED STATES - MN
LabovitzUniversity of Minnesota;UNITED STATES - MN
CarlsonThe University of Mississippi;UNITED STATES - MS
University of Missouri;UNITED STATES - MO
Robert J. Trulaske, Sr.University of Missouri-Kansas City;UNITED STATES - MO
Henry W.University of Missouri-St. Louis;UNITED STATES - MO
The University of Montana;UNITED STATES - MT
University of Montevallo;UNITED STATES - AL
Michael E.University of Nebraska at Kearney;UNITED STATES - NE
University of Nebraska at Omaha;UNITED STATES - NE
University of Nebraska-Lincoln;UNITED STATES - NE
University of Nevada, Las Vegas;UNITED STATES - NV
University of Nevada, Reno;UNITED STATES - NV
University of New Hampshire;UNITED STATES - NH
Peter T.The University of New Mexico;UNITED STATES - NM
The Robert O.University of New Orleans;UNITED STATES - LA
The University of North Carolina at Asheville;UNITED STATES - NC
DepartmentThe University of North Carolina at Chapel Hill;UNITED STATES - NC
Kenan-FlaglerThe University of North Carolina at Charlotte;UNITED STATES - NC
TThe University of North Carolina at Greensboro;UNITED STATES - NC
Joseph M.The University of North Carolina at Pembroke;UNITED STATES - NC
University of North Carolina Wilmington;UNITED STATES - NC
CameronThe University of North Dakota;UNITED STATES - ND
University of North Florida;UNITED STATES - FL
CogginUniversity of North Georgia;UNITED STATES - GA
MikUniversity of North Texas;UNITED STATES - TX
University of Northern Colorado;UNITED STATES - CO
Kenneth W.University of Northern Iowa;UNITED STATES - IA
University of Notre Dame;UNITED STATES - IN
MendozaUniversity of Oklahoma;UNITED STATES - OK
Michael F.University of Oregon;UNITED STATES - OR
Charles H.University of Otago;NEW ZEALAND
BusineUniversity of Ottawa;CANADA - ON
TelferUniversity of Oulu;FINLAND
OuluUniversity of Pennsylvania;UNITED STATES - PA
TUniversity of Pittsburgh;UNITED STATES - PA
The Joseph M.University of Portland;UNITED STATES - OR
Dr. Robert B. Pamplin, Jr.University of Puerto Rico at Rio Piedras;UNITED STATES - PR
The University of Queensland;AUSTRALIA - Queensland
UQThe University of Rhode Island;UNITED STATES - RI
University of Richmond;UNITED STATES - VA
RobinUniversity of Rochester;UNITED STATES - NY
William E.University of San Diego;UNITED STATES - CA
University of San Francisco;UNITED STATES - CA
University of Scranton;UNITED STATES - PA
The Arthur J.University of South Alabama;UNITED STATES - AL
MitUniversity of South Carolina;UNITED STATES - SC
DarlaUniversity of South Carolina Aiken;UNITED STATES - SC
University of South Carolina Upstate;UNITED STATES - SC
George Dean Johnson, Jr.University of South Dakota;UNITED STATES - SD
BeacomUniversity of South Florida;UNITED STATES - FL
MumaUniversity of South Florida St. Petersburg;UNITED STATES - FL
KatUniversity of South Florida, Sarasota-Manatee;UNITED STATES - FL
University of Southern California;UNITED STATES - CA
MarshaUniversity of Southern Indiana;UNITED STATES - IN
RomainUniversity of Southern Maine;UNITED STATES - ME
University of Southern Mississippi;UNITED STATES - MS
University of St. Gallen;SWITZERLANDUniversity of St. Thomas-Houston;UNITED STATES - TX
CameronUniversity of St. Thomas-Minnesota;UNITED STATES - MN
OpuUniversity of Stellenbosch;SOUTH AFRICA
UniversityUniversity of Strathclyde;UNITED KINGDOM - Scotland
StrathclydUniversity of Surrey;UNITED KINGDOM - England
